,c_id,comment_author,thread_id,comment_date,CLASS
408,c2108807385,hbisch'spreggo,a21398735,01/27/2010,1
409,c2108922134,fromlucy2mommy,a21406155,01/27/2010,-1
410,c2108927223,jooper,a20213375,01/28/2010,-1
411,c2109150522,momofdaddyspie,a21397315,01/28/2010,1
412,c2109364451,LearningfromLiam,a21418503,01/28/2010,1
413,c2109389012,Brigala,a21423095,01/29/2010,1
414,c2109553425,MusicMom*Melissa,a21425593,01/29/2010,1
415,c2109567396,Samsplace,a21427793,01/29/2010,-1
416,c2110249381,Minako576,a21354217,01/31/2010,-1
417,c2111007194,Shan Kat,a21474441,02/02/2010,-1
418,c2111058628,momto2Es,a21474519,02/02/2010,-1
419,c2111087474,agvargas,a21477305,02/02/2010,-1
420,c2111161679,babyrat269,a21474441,02/02/2010,-1
421,c2111196279,Agni18,a21482635,02/02/2010,1
422,c2111284773,BonzNovBaby,a21469031,02/03/2010,-1
423,c2111431539,*Precious*Bows*,a21490875,02/03/2010,1
424,c2111436963,newnjmommie,a21490875,02/03/2010,1
425,c2111444567,SaGiTTaRiUs77,a21474441,02/03/2010,-1
426,c2112117507,Michelle's Husband,a21512651,02/05/2010,1
427,c2113081783,kelliferous,a21543219,02/08/2010,1
428,c2113177257,lmstrg,a21543219,02/08/2010,-1
429,c2113199244,ekohlby,a21534565,02/08/2010,1
430,c2113349638,drearina,a21552997,02/08/2010,-1
431,c2114260864,anewmama2,a21452173,02/09/2010,1
432,c2114978375,brh1234,a21585919,02/11/2010,-1
433,c2115314181,Penguin_ar,a21600031,02/12/2010,-1
434,c2115324741,ISUamanda,a21598181,02/12/2010,1
435,c2116509954,cakeies,a21639017,02/15/2010,-1
436,c2116511304,brinleys,a21639017,02/15/2010,-1
437,c2117255267,danasara,a21650593,02/17/2010,1
438,c2120199821,NOLAMA,a21739607,02/23/2010,-1
439,c2120445857,mommytotwingirls,a21752197,02/24/2010,1
440,c2120614252,jordanmay02,a21741393,02/24/2010,1
441,c2120822940,suehaydon,a21752197,02/25/2010,-1
442,c2121236325,emily996,a21775791,02/26/2010,1
443,c2121684680,westbound07,a21786635,02/27/2010,-1
444,c2121830843,*rose_red*,a21798397,02/28/2010,-1
445,c2121930407,harmony'smom,a21801203,02/28/2010,-1
446,c2122666554,delatierra,a21823227,03/02/2010,-1
447,c2123035113,happyduo,a21693387,03/03/2010,-1
448,c2124715304,lifescholar,a21894947,03/08/2010,-1
449,c2125665830,ZoeSand,a21910541,03/08/2010,1
450,c2125808927,adara-crwys,a21905129,03/09/2010,-1
451,c2125900047,jenlm36,a21915223,03/09/2010,-1
452,c2125949374,Cinder4320,a21919171,03/09/2010,-1
453,c2126331598,laila_01,a21911393,03/10/2010,1
454,c2126507112,upnorthgal,a21940427,03/10/2010,-1
455,c2126729147,jacksoncmommy,a21946799,03/11/2010,1
456,c2126765039,philvish,a9133915,03/11/2010,-1
457,c2126776011,miamiquacks,a21950451,03/11/2010,1
458,c2127312249,AteneaLatina,a21435961,03/12/2010,1
459,c2127686032,AlexisClaire,a21372317,03/13/2010,1
460,c2129371550,3formeTMN,a22001251,03/16/2010,-1
461,c2130448270,Katannah,a22051795,03/19/2010,-1
462,c2130451120,angiefyah,a22040375,03/19/2010,-1
463,c2130451644,ccyr22,a22051795,03/19/2010,1
464,c2130567851,wishingfortwins,a22054871,03/19/2010,-1
465,c2130909105,*Amy_&_baby*,a21397315,03/20/2010,1
466,c2131104836,misslena,a22073583,03/22/2010,1
467,c2131331094,MuskratLove,a22077137,03/22/2010,-1
468,c2131366669,roland'smommy,a22077429,03/22/2010,-1
469,c2131902224,lancesbabe,a22075513,03/23/2010,-1
470,c2132079216,MouseySP,a22077137,03/24/2010,-1
471,c2132750146,KeeleyNLance,a22119245,03/25/2010,-1
472,c2132999151,Angela0926,a22085999,03/26/2010,-1
473,c2133008535,snavin2,a22085999,03/26/2010,-1
474,c2133089420,AshleyLynn88,a22140843,03/26/2010,1
475,c2133118474,mommydearest0220,a22140843,03/26/2010,1
476,c2133439429,renner39,a22140843,03/27/2010,1
477,c2134550114,Khyree,a22182263,03/30/2010,1
478,c2134553035,doobiemom_x2,a22182263,03/30/2010,-1
479,c2134557957,ChemistryMom,a22182263,03/30/2010,1
480,c2134702043,MaxineIsCute,a22182263,03/30/2010,-1
481,c2134724020,mrlymgc,a22188209,03/30/2010,-1
482,c2135170005,nikki4493,a22200489,03/31/2010,-1
483,c2138314236,Tracey312,a22287351,04/08/2010,-1
